TP,TN,FP,FN,Sensitivity,Specificity,MCC,Coefficient_Bias
7,10,0,3,0.7,1,0.7337993857053428,0.4386763821201273
10,10,0,0,1,1,1,11.819064123520047
7,10,0,3,0.7,1,0.7337993857053428,0.4457451444661677
10,9,1,0,1,0.9,0.9045340337332909,11.701827531138706
7,10,0,3,0.7,1,0.7337993857053428,0.43201431405093366
8,10,0,2,0.8,1,0.816496580927726,11.688482409797365
10,2,8,0,1,0.2,0.3333333333333333,0.14916978600475442
10,6,4,0,1,0.6,0.6546536707079772,10.874403387267149
10,3,7,0,1,0.3,0.420084025208403,0.3509642637204229
10,9,1,0,1,0.9,0.9045340337332909,11.145215269175647
10,6,4,0,1,0.6,0.6546536707079772,0.39047759853041086
10,9,1,0,1,0.9,0.9045340337332909,11.025189430870658
10,4,6,0,1,0.4,0.5,0.372339711773798
10,7,3,0,1,0.7,0.7337993857053428,10.899544667645323
10,3,7,0,1,0.3,0.420084025208403,0.354521558117811
8,6,4,2,0.8,0.6,0.408248290463863,11.637705795196663
10,5,5,0,1,0.5,0.5773502691896257,0.16700378641398156
9,8,2,1,0.9,0.8,0.7035264706814485,11.329418578584475
9,8,2,1,0.9,0.8,0.7035264706814485,0.4012202821976383
5,10,0,5,0.5,1,0.5773502691896257,12.304583861607929
0,10,0,10,0,1,NA,0.5
2,10,0,8,0.2,1,0.3333333333333333,12.356536793632735
0,10,0,10,0,1,NA,0.5
6,10,0,4,0.6,1,0.6546536707079772,12.120587190871484
2,10,0,8,0.2,1,0.3333333333333333,0.49457636770565316
10,9,1,0,1,0.9,0.9045340337332909,11.01383325535316
10,2,8,0,1,0.2,0.3333333333333333,0.06221201199006547
10,7,3,0,1,0.7,0.7337993857053428,11.314020358970318
8,5,5,2,0.8,0.5,0.3144854510165755,0.3669500436118043
7,10,0,3,0.7,1,0.7337993857053428,12.058671622706033
5,10,0,5,0.5,1,0.5773502691896257,0.45032673212463675
10,8,2,0,1,0.8,0.816496580927726,11.678095946744785
7,10,0,3,0.7,1,0.7337993857053428,0.4088062754180035
10,8,2,0,1,0.8,0.816496580927726,11.489139528135734
8,7,3,2,0.8,0.7,0.502518907629606,0.38694991090284986
